version,app,cpu,threads,metric,value
zsim,ft,0,4,cycles,3650401790
zsim,ft,0,4,instructions,6967436783
zsim,ft,0,4,l2-rqsts-demand-data-rd-hit,248352556
zsim,ft,0,4,l2-rqsts-demand-data-rd-miss,24567100
zsim,ft,1,4,cycles,3649120301
zsim,ft,1,4,instructions,6970133391
zsim,ft,1,4,l2-rqsts-demand-data-rd-hit,248293164
zsim,ft,1,4,l2-rqsts-demand-data-rd-miss,24553740
zsim,ft,2,4,cycles,3649120309
zsim,ft,2,4,instructions,6971960681
zsim,ft,2,4,l2-rqsts-demand-data-rd-hit,248293662
zsim,ft,2,4,l2-rqsts-demand-data-rd-miss,24553322
zsim,ft,3,4,cycles,3649120191
zsim,ft,3,4,instructions,6967685826
zsim,ft,3,4,l2-rqsts-demand-data-rd-hit,248287580
zsim,ft,3,4,l2-rqsts-demand-data-rd-miss,24555104
zsim,lu,0,2,cycles,66506716694
zsim,lu,0,2,instructions,100645742290
zsim,lu,0,2,l2-rqsts-demand-data-rd-hit,256015691
zsim,lu,0,2,l2-rqsts-demand-data-rd-miss,1923944697
zsim,lu,1,2,cycles,66507190108
zsim,lu,1,2,instructions,101953708318
zsim,lu,1,2,l2-rqsts-demand-data-rd-hit,256470117
zsim,lu,1,2,l2-rqsts-demand-data-rd-miss,1923573143
zsim,lu,0,1,cycles,152604404252
zsim,lu,0,1,instructions,200405499517
zsim,lu,0,1,l2-rqsts-demand-data-rd-hit,276003293
zsim,lu,0,1,l2-rqsts-demand-data-rd-miss,4700836025
zsim,ft,0,2,cycles,7225263070
zsim,ft,0,2,instructions,13933525770
zsim,ft,0,2,l2-rqsts-demand-data-rd-hit,496745804
zsim,ft,0,2,l2-rqsts-demand-data-rd-miss,49071266
zsim,ft,1,2,cycles,7223990114
zsim,ft,1,2,instructions,13933458571
zsim,ft,1,2,l2-rqsts-demand-data-rd-hit,496629067
zsim,ft,1,2,l2-rqsts-demand-data-rd-miss,49056520
zsim,ua,0,12,cycles,16103716406
zsim,ua,0,12,instructions,13997260107
zsim,ua,0,12,l2-rqsts-demand-data-rd-hit,103466297
zsim,ua,0,12,l2-rqsts-demand-data-rd-miss,88902022
zsim,ua,1,12,cycles,16180063698
zsim,ua,1,12,instructions,14002298216
zsim,ua,1,12,l2-rqsts-demand-data-rd-hit,99915653
zsim,ua,1,12,l2-rqsts-demand-data-rd-miss,88792432
zsim,ua,2,12,cycles,16235960397
zsim,ua,2,12,instructions,14208280154
zsim,ua,2,12,l2-rqsts-demand-data-rd-hit,99843846
zsim,ua,2,12,l2-rqsts-demand-data-rd-miss,87104398
zsim,ua,3,12,cycles,16285053981
zsim,ua,3,12,instructions,14312758024
zsim,ua,3,12,l2-rqsts-demand-data-rd-hit,99825079
zsim,ua,3,12,l2-rqsts-demand-data-rd-miss,86534357
zsim,ua,4,12,cycles,16300614508
zsim,ua,4,12,instructions,14443797333
zsim,ua,4,12,l2-rqsts-demand-data-rd-hit,99825592
zsim,ua,4,12,l2-rqsts-demand-data-rd-miss,86081976
zsim,ua,5,12,cycles,16331254664
zsim,ua,5,12,instructions,14482301832
zsim,ua,5,12,l2-rqsts-demand-data-rd-hit,100659762
zsim,ua,5,12,l2-rqsts-demand-data-rd-miss,85120521
zsim,ua,6,12,cycles,16327998237
zsim,ua,6,12,instructions,14536039897
zsim,ua,6,12,l2-rqsts-demand-data-rd-hit,100809815
zsim,ua,6,12,l2-rqsts-demand-data-rd-miss,84834034
zsim,ua,7,12,cycles,16317748346
zsim,ua,7,12,instructions,14504936719
zsim,ua,7,12,l2-rqsts-demand-data-rd-hit,100667454
zsim,ua,7,12,l2-rqsts-demand-data-rd-miss,85105044
zsim,ua,8,12,cycles,16319695055
