version,app,cpu,threads,metric,value
native-L2,cg,0,2,offcore-response-pf-l2-data-rd-l3-hit-hitm-other-core,288909
native-L2,cg,1,2,offcore-response-pf-l2-data-rd-l3-hit-hitm-other-core,416588
native-L2,is,0,1,offcore-response-pf-l2-rfo-any-response,947299
native-L2,cg,0,1,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,94556835
native-L2,cg,0,8,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,17457016
native-L2,cg,1,8,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,16897496
native-L2,cg,2,8,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,17463115
native-L2,cg,3,8,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,16726040
native-L2,cg,4,8,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,16261403
native-L2,cg,5,8,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,16230211
native-L2,cg,6,8,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,18324043
native-L2,cg,7,8,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,18330829
native-L2,mg,0,8,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,8436052
native-L2,mg,1,8,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,8088941
native-L2,mg,2,8,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,8204989
native-L2,mg,3,8,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,8166590
native-L2,mg,4,8,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,7981455
native-L2,mg,5,8,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,8023379
native-L2,mg,6,8,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,9755446
native-L2,mg,7,8,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,9800706
native-L2,bt,0,12,offcore-response-pf-l2-rfo-l3-hit-any-snoop,6907869
native-L2,bt,1,12,offcore-response-pf-l2-rfo-l3-hit-any-snoop,7736607
native-L2,bt,2,12,offcore-response-pf-l2-rfo-l3-hit-any-snoop,7181267
native-L2,bt,3,12,offcore-response-pf-l2-rfo-l3-hit-any-snoop,7354239
native-L2,bt,4,12,offcore-response-pf-l2-rfo-l3-hit-any-snoop,7043635
native-L2,bt,5,12,offcore-response-pf-l2-rfo-l3-hit-any-snoop,5503724
native-L2,bt,6,12,offcore-response-pf-l2-rfo-l3-hit-any-snoop,6979315
native-L2,bt,7,12,offcore-response-pf-l2-rfo-l3-hit-any-snoop,7933564
native-L2,bt,8,12,offcore-response-pf-l2-rfo-l3-hit-any-snoop,8152279
native-L2,bt,9,12,offcore-response-pf-l2-rfo-l3-hit-any-snoop,7673451
native-L2,bt,10,12,offcore-response-pf-l2-rfo-l3-hit-any-snoop,7649953
native-L2,bt,11,12,offcore-response-pf-l2-rfo-l3-hit-any-snoop,7385826
native-L2,ft,0,1,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,1797437
native-L2,ua,0,8,offcore-response-pf-l2-rfo-any-response,53978109
native-L2,ua,1,8,offcore-response-pf-l2-rfo-any-response,54253794
native-L2,ua,2,8,offcore-response-pf-l2-rfo-any-response,53805286
native-L2,ua,3,8,offcore-response-pf-l2-rfo-any-response,54040220
native-L2,ua,4,8,offcore-response-pf-l2-rfo-any-response,54081691
native-L2,ua,5,8,offcore-response-pf-l2-rfo-any-response,52103080
native-L2,ua,6,8,offcore-response-pf-l2-rfo-any-response,50009273
native-L2,ua,7,8,offcore-response-pf-l2-rfo-any-response,44441093
native-L2,ft,0,8,offcore-response-pf-l2-rfo-l3-hit-hitm-other-core,7865
native-L2,ft,1,8,offcore-response-pf-l2-rfo-l3-hit-hitm-other-core,653
native-L2,ft,2,8,offcore-response-pf-l2-rfo-l3-hit-hitm-other-core,678
native-L2,ft,3,8,offcore-response-pf-l2-rfo-l3-hit-hitm-other-core,1065
native-L2,ft,4,8,offcore-response-pf-l2-rfo-l3-hit-hitm-other-core,1092
native-L2,ft,5,8,offcore-response-pf-l2-rfo-l3-hit-hitm-other-core,676
native-L2,ft,6,8,offcore-response-pf-l2-rfo-l3-hit-hitm-other-core,386
native-L2,ft,7,8,offcore-response-pf-l2-rfo-l3-hit-hitm-other-core,12636
native-L2,lu,0,2,offcore-response-pf-l2-data-rd-l3-hit-hitm-other-core,873948
native-L2,lu,1,2,offcore-response-pf-l2-data-rd-l3-hit-hitm-other-core,1408712
native-L2,lu,0,8,offcore-response-pf-l2-data-rd-l3-hit-hitm-other-core,1445723
native-L2,lu,1,8,offcore-response-pf-l2-data-rd-l3-hit-hitm-other-core,2362175
native-L2,lu,2,8,offcore-response-pf-l2-data-rd-l3-hit-hitm-other-core,3020893
native-L2,lu,3,8,offcore-response-pf-l2-data-rd-l3-hit-hitm-other-core,3000667
native-L2,lu,4,8,offcore-response-pf-l2-data-rd-l3-hit-hitm-other-core,3017895
native-L2,lu,5,8,offcore-response-pf-l2-data-rd-l3-hit-hitm-other-core,2480376
native-L2,lu,6,8,offcore-response-pf-l2-data-rd-l3-hit-hitm-other-core,620851
native-L2,lu,7,8,offcore-response-pf-l2-data-rd-l3-hit-hitm-other-core,844465
native-L2,ep,0,8,offcore-response-pf-l2-rfo-any-response,3625559
native-L2,ep,1,8,offcore-response-pf-l2-rfo-any-response,3283613
native-L2,ep,2,8,offcore-response-pf-l2-rfo-any-response,3111992
native-L2,ep,3,8,offcore-response-pf-l2-rfo-any-response,2390324
native-L2,ep,4,8,offcore-response-pf-l2-rfo-any-response,2641821
native-L2,ep,5,8,offcore-response-pf-l2-rfo-any-response,2507997
native-L2,ep,6,8,offcore-response-pf-l2-rfo-any-response,2524549
native-L2,ep,7,8,offcore-response-pf-l2-rfo-any-response,3124179
native-L2,sp,0,1,offcore-response-pf-l2-rfo-any-response,199305859
native-L2,bt,0,8,offcore-response-pf-l2-rfo-l3-hit-hitm-other-core,19229
native-L2,bt,1,8,offcore-response-pf-l2-rfo-l3-hit-hitm-other-core,324212
native-L2,bt,2,8,offcore-response-pf-l2-rfo-l3-hit-hitm-other-core,288171
native-L2,bt,3,8,offcore-response-pf-l2-rfo-l3-hit-hitm-other-core,335099
native-L2,bt,4,8,offcore-response-pf-l2-rfo-l3-hit-hitm-other-core,75808
native-L2,bt,5,8,offcore-response-pf-l2-rfo-l3-hit-hitm-other-core,125475
native-L2,bt,6,8,offcore-response-pf-l2-rfo-l3-hit-hitm-other-core,26670
native-L2,bt,7,8,offcore-response-pf-l2-rfo-l3-hit-hitm-other-core,70452
native-L2,bt,0,8,offcore-response-pf-l2-data-rd-any-response,91434322
native-L2,bt,1,8,offcore-response-pf-l2-data-rd-any-response,89158960
native-L2,bt,2,8,offcore-response-pf-l2-data-rd-any-response,87336643
native-L2,bt,3,8,offcore-response-pf-l2-data-rd-any-response,87427011
native-L2,bt,4,8,offcore-response-pf-l2-data-rd-any-response,88159549
native-L2,bt,5,8,offcore-response-pf-l2-data-rd-any-response,86559694
native-L2,bt,6,8,offcore-response-pf-l2-data-rd-any-response,77925480
native-L2,bt,7,8,offcore-response-pf-l2-data-rd-any-response,76998785
native-L2,sp,0,4,offcore-response-pf-l2-data-rd-any-response,500592361
native-L2,sp,1,4,offcore-response-pf-l2-data-rd-any-response,487454371
native-L2,sp,2,4,offcore-response-pf-l2-data-rd-any-response,462501966
native-L2,sp,3,4,offcore-response-pf-l2-data-rd-any-response,468782446
native-L2,lu,0,12,offcore-response-pf-l2-rfo-any-response,17673079
native-L2,lu,1,12,offcore-response-pf-l2-rfo-any-response,21650849
native-L2,lu,2,12,offcore-response-pf-l2-rfo-any-response,20353292
native-L2,lu,3,12,offcore-response-pf-l2-rfo-any-response,19879591
native-L2,lu,4,12,offcore-response-pf-l2-rfo-any-response,18524169
native-L2,lu,5,12,offcore-response-pf-l2-rfo-any-response,18097409
native-L2,lu,6,12,offcore-response-pf-l2-rfo-any-response,16458089
native-L2,lu,7,12,offcore-response-pf-l2-rfo-any-response,18564803
native-L2,lu,8,12,offcore-response-pf-l2-rfo-any-response,19650383
native-L2,lu,9,12,offcore-response-pf-l2-rfo-any-response,20597146
native-L2,lu,10,12,offcore-response-pf-l2-rfo-any-response,20073268
native-L2,lu,11,12,offcore-response-pf-l2-rfo-any-response,16378540
native-L2,ft,0,12,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,323653
native-L2,ft,1,12,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,347160
native-L2,ft,2,12,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,325095
native-L2,ft,3,12,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,321222
native-L2,ft,4,12,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,283629
native-L2,ft,5,12,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,276544
native-L2,ft,6,12,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,289492
native-L2,ft,7,12,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,297565
native-L2,ft,8,12,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,259030
native-L2,ft,9,12,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,243988
native-L2,ft,10,12,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,242931
native-L2,ft,11,12,offcore-response-pf-l2-data-rd-l3-hit-any-snoop,242065
native-L2,bt,0,1,offcore-response-pf-l2-rfo-l3-hit-hitm-other-core,3132
native-L2,ep,0,12,offcore-response-pf-l2-rfo-l3-hit-any-snoop,2283322
native-L2,ep,1,12,offcore-response-pf-l2-rfo-l3-hit-any-snoop,2263269
native-L2,ep,2,12,offcore-response-pf-l2-rfo-l3-hit-any-snoop,1875061
native-L2,ep,3,12,offcore-response-pf-l2-rfo-l3-hit-any-snoop,1821046
native-L2,ep,4,12,offcore-response-pf-l2-rfo-l3-hit-any-snoop,2096863
native-L2,ep,5,12,offcore-response-pf-l2-rfo-l3-hit-any-snoop,2147472
native-L2,ep,6,12,offcore-response-pf-l2-rfo-l3-hit-any-snoop,1984742
native-L2,ep,7,12,offcore-response-pf-l2-rfo-l3-hit-any-snoop,1966752
native-L2,ep,8,12,offcore-response-pf-l2-rfo-l3-hit-any-snoop,2150041
native-L2,ep,9,12,offcore-response-pf-l2-rfo-l3-hit-any-snoop,2933150
native-L2,ep,10,12,offcore-response-pf-l2-rfo-l3-hit-any-snoop,1778661
native-L2,ep,11,12,offcore-response-pf-l2-rfo-l3-hit-any-snoop,1941346
native-L2,ft,0,1,offcore-response-pf-l2-rfo-l3-hit-any-snoop,5506857
native-L2,is,0,4,offcore-response-pf-l2-data-rd-l3-hit-hitm-other-core,16474
native-L2,is,1,4,offcore-response-pf-l2-data-rd-l3-hit-hitm-other-core,17016
native-L2,is,2,4,offcore-response-pf-l2-data-rd-l3-hit-hitm-other-core,17964
