version,app,cpu,threads,metric,value
sniper-l1,ep,0,1,instructions,42869411055
sniper-l1,ep,0,1,ipc,0.751723692579
sniper-l1,ep,0,1,cycles,57028149409
sniper-l1,ep,0,1,l2-rqsts-demand-data-rd-all,70159682
sniper-l1,ep,0,1,l2-rqsts-demand-data-rd-miss,17540254
sniper-l1,ep,0,1,l2-rqsts-demand-data-rd-hit,52619428
sniper-l1,ep,0,1,l2_rqsts-all-pf,32073
sniper-l1,ep,0,1,l2_rqsts-pf-hit,2911
sniper-l1,ep,0,1,l2_rqsts-pf-miss,29162
sniper-l1,ep,0,1,l2-lines-out-useless-pref,19400
sniper-l1,ep,0,4,instructions,10721319991
sniper-l1,ep,0,4,ipc,0.752325189212
sniper-l1,ep,0,4,cycles,14250911899
sniper-l1,ep,0,4,l2-rqsts-demand-data-rd-all,17576490
sniper-l1,ep,0,4,l2-rqsts-demand-data-rd-miss,4491599
sniper-l1,ep,0,4,l2-rqsts-demand-data-rd-hit,13084891
sniper-l1,ep,0,4,l2_rqsts-all-pf,80298
sniper-l1,ep,0,4,l2_rqsts-pf-hit,1897
sniper-l1,ep,0,4,l2_rqsts-pf-miss,78401
sniper-l1,ep,0,4,l2-lines-out-useless-pref,44701
sniper-l1,ep,1,4,instructions,10720938935
sniper-l1,ep,1,4,ipc,0.752298448326
sniper-l1,ep,1,4,cycles,14250911933
sniper-l1,ep,1,4,l2-rqsts-demand-data-rd-all,17546342
sniper-l1,ep,1,4,l2-rqsts-demand-data-rd-miss,4390020
sniper-l1,ep,1,4,l2-rqsts-demand-data-rd-hit,13156322
sniper-l1,ep,1,4,l2_rqsts-all-pf,51
sniper-l1,ep,1,4,l2_rqsts-pf-hit,19
sniper-l1,ep,1,4,l2_rqsts-pf-miss,32
sniper-l1,ep,1,4,l2-lines-out-useless-pref,30
sniper-l1,ep,2,4,instructions,10721127542
sniper-l1,ep,2,4,ipc,0.752311683058
sniper-l1,ep,2,4,cycles,14250911933
sniper-l1,ep,2,4,l2-rqsts-demand-data-rd-all,17568028
sniper-l1,ep,2,4,l2-rqsts-demand-data-rd-miss,4506854
sniper-l1,ep,2,4,l2-rqsts-demand-data-rd-hit,13061174
sniper-l1,ep,2,4,l2_rqsts-all-pf,36
sniper-l1,ep,2,4,l2_rqsts-pf-hit,9
sniper-l1,ep,2,4,l2_rqsts-pf-miss,27
sniper-l1,ep,2,4,l2-lines-out-useless-pref,25
sniper-l1,ep,3,4,instructions,10718447127
sniper-l1,ep,3,4,ipc,0.752123595793
sniper-l1,ep,3,4,cycles,14250911933
sniper-l1,ep,3,4,l2-rqsts-demand-data-rd-all,17574438
sniper-l1,ep,3,4,l2-rqsts-demand-data-rd-miss,4530023
sniper-l1,ep,3,4,l2-rqsts-demand-data-rd-hit,13044415
sniper-l1,ep,3,4,l2_rqsts-all-pf,59
sniper-l1,ep,3,4,l2_rqsts-pf-hit,3
sniper-l1,ep,3,4,l2_rqsts-pf-miss,56
sniper-l1,ep,3,4,l2-lines-out-useless-pref,56
sniper-l1,ep,0,12,instructions,3583874016
sniper-l1,ep,0,12,ipc,0.223685248548
sniper-l1,ep,0,12,cycles,16021950661
sniper-l1,ep,0,12,l2-rqsts-demand-data-rd-all,6568843
sniper-l1,ep,0,12,l2-rqsts-demand-data-rd-miss,1670083
sniper-l1,ep,0,12,l2-rqsts-demand-data-rd-hit,4898760
sniper-l1,ep,0,12,l2_rqsts-all-pf,65999695
sniper-l1,ep,0,12,l2_rqsts-pf-hit,3773394
sniper-l1,ep,0,12,l2_rqsts-pf-miss,62226301
sniper-l1,ep,0,12,l2-lines-out-useless-pref,45097177
sniper-l1,ep,1,12,instructions,3589013685
sniper-l1,ep,1,12,ipc,0.224006036159
sniper-l1,ep,1,12,cycles,16021950776
sniper-l1,ep,1,12,l2-rqsts-demand-data-rd-all,6560500
sniper-l1,ep,1,12,l2-rqsts-demand-data-rd-miss,1660694
sniper-l1,ep,1,12,l2-rqsts-demand-data-rd-hit,4899806
sniper-l1,ep,1,12,l2_rqsts-all-pf,65843504
sniper-l1,ep,1,12,l2_rqsts-pf-hit,3815860
sniper-l1,ep,1,12,l2_rqsts-pf-miss,62027644
sniper-l1,ep,1,12,l2-lines-out-useless-pref,45094086
sniper-l1,ep,2,12,instructions,3589018986
sniper-l1,ep,2,12,ipc,0.224006367205
sniper-l1,ep,2,12,cycles,16021950763
sniper-l1,ep,2,12,l2-rqsts-demand-data-rd-all,6548856
sniper-l1,ep,2,12,l2-rqsts-demand-data-rd-miss,1680650
sniper-l1,ep,2,12,l2-rqsts-demand-data-rd-hit,4868206
sniper-l1,ep,2,12,l2_rqsts-all-pf,65487929
sniper-l1,ep,2,12,l2_rqsts-pf-hit,3790361
sniper-l1,ep,2,12,l2_rqsts-pf-miss,61697568
sniper-l1,ep,2,12,l2-lines-out-useless-pref,44675726
sniper-l1,ep,3,12,instructions,3588783953
sniper-l1,ep,3,12,ipc,0.223991697517
sniper-l1,ep,3,12,cycles,16021950781
sniper-l1,ep,3,12,l2-rqsts-demand-data-rd-all,6544722
sniper-l1,ep,3,12,l2-rqsts-demand-data-rd-miss,1690608
sniper-l1,ep,3,12,l2-rqsts-demand-data-rd-hit,4854114
sniper-l1,ep,3,12,l2_rqsts-all-pf,65112159
sniper-l1,ep,3,12,l2_rqsts-pf-hit,3776728
sniper-l1,ep,3,12,l2_rqsts-pf-miss,61335431
sniper-l1,ep,3,12,l2-lines-out-useless-pref,44460084
sniper-l1,ep,4,12,instructions,3578737027
sniper-l1,ep,4,12,ipc,0.223364625149
sniper-l1,ep,4,12,cycles,16021950765
sniper-l1,ep,4,12,l2-rqsts-demand-data-rd-all,6529834
sniper-l1,ep,4,12,l2-rqsts-demand-data-rd-miss,1688827
sniper-l1,ep,4,12,l2-rqsts-demand-data-rd-hit,4841007
sniper-l1,ep,4,12,l2_rqsts-all-pf,65370612
sniper-l1,ep,4,12,l2_rqsts-pf-hit,3797247
sniper-l1,ep,4,12,l2_rqsts-pf-miss,61573365
sniper-l1,ep,4,12,l2-lines-out-useless-pref,44871333
sniper-l1,ep,5,12,instructions,3578151920
sniper-l1,ep,5,12,ipc,0.223328105811
sniper-l1,ep,5,12,cycles,16021950784
sniper-l1,ep,5,12,l2-rqsts-demand-data-rd-all,6527959
sniper-l1,ep,5,12,l2-rqsts-demand-data-rd-miss,1668698
sniper-l1,ep,5,12,l2-rqsts-demand-data-rd-hit,4859261
sniper-l1,ep,5,12,l2_rqsts-all-pf,65226435
sniper-l1,ep,5,12,l2_rqsts-pf-hit,3768435
sniper-l1,ep,5,12,l2_rqsts-pf-miss,61458000
sniper-l1,ep,5,12,l2-lines-out-useless-pref,44418025
sniper-l1,ep,6,12,instructions,3575605298
sniper-l1,ep,6,12,ipc,0.22316916005
sniper-l1,ep,6,12,cycles,16021950780
sniper-l1,ep,6,12,l2-rqsts-demand-data-rd-all,6539966
sniper-l1,ep,6,12,l2-rqsts-demand-data-rd-miss,1703394
sniper-l1,ep,6,12,l2-rqsts-demand-data-rd-hit,4836572
sniper-l1,ep,6,12,l2_rqsts-all-pf,66180188
sniper-l1,ep,6,12,l2_rqsts-pf-hit,3795143
sniper-l1,ep,6,12,l2_rqsts-pf-miss,62385045
sniper-l1,ep,6,12,l2-lines-out-useless-pref,45272125
sniper-l1,ep,7,12,instructions,3578661421
