version,app,cpu,threads,metric,value
sniper-l1-l2,ep,0,1,instructions,42869411068
sniper-l1-l2,ep,0,1,ipc,0.792293315031
sniper-l1-l2,ep,0,1,cycles,54108005526
sniper-l1-l2,ep,0,1,l2-rqsts-demand-data-rd-all,136580564
sniper-l1-l2,ep,0,1,l2-rqsts-demand-data-rd-miss,34219529
sniper-l1-l2,ep,0,1,l2-rqsts-demand-data-rd-hit,102361035
sniper-l1-l2,ep,0,1,l2_rqsts-all-pf,30085
sniper-l1-l2,ep,0,1,l2_rqsts-pf-hit,77993
sniper-l1-l2,ep,0,1,l2_rqsts-pf-miss,-47908
sniper-l1-l2,ep,0,1,l2-lines-out-useless-pref,32550412
sniper-l1-l2,ep,0,4,instructions,10721322558
sniper-l1-l2,ep,0,4,ipc,0.78748216314
sniper-l1-l2,ep,0,4,cycles,13614686223
sniper-l1-l2,ep,0,4,l2-rqsts-demand-data-rd-all,34191485
sniper-l1-l2,ep,0,4,l2-rqsts-demand-data-rd-miss,8669828
sniper-l1-l2,ep,0,4,l2-rqsts-demand-data-rd-hit,25521657
sniper-l1-l2,ep,0,4,l2_rqsts-all-pf,77160
sniper-l1-l2,ep,0,4,l2_rqsts-pf-hit,20503
sniper-l1-l2,ep,0,4,l2_rqsts-pf-miss,56657
sniper-l1-l2,ep,0,4,l2-lines-out-useless-pref,8279710
sniper-l1-l2,ep,1,4,instructions,10718858459
sniper-l1-l2,ep,1,4,ipc,0.787301172994
sniper-l1-l2,ep,1,4,cycles,13614686255
sniper-l1-l2,ep,1,4,l2-rqsts-demand-data-rd-all,34154561
sniper-l1-l2,ep,1,4,l2-rqsts-demand-data-rd-miss,8412760
sniper-l1-l2,ep,1,4,l2-rqsts-demand-data-rd-hit,25741801
sniper-l1-l2,ep,1,4,l2_rqsts-all-pf,418
sniper-l1-l2,ep,1,4,l2_rqsts-pf-hit,19376
sniper-l1-l2,ep,1,4,l2_rqsts-pf-miss,-18958
sniper-l1-l2,ep,1,4,l2-lines-out-useless-pref,7989447
sniper-l1-l2,ep,2,4,instructions,10721079802
sniper-l1-l2,ep,2,4,ipc,0.787464330558
sniper-l1-l2,ep,2,4,cycles,13614686260
sniper-l1-l2,ep,2,4,l2-rqsts-demand-data-rd-all,34168668
sniper-l1-l2,ep,2,4,l2-rqsts-demand-data-rd-miss,8958416
sniper-l1-l2,ep,2,4,l2-rqsts-demand-data-rd-hit,25210252
sniper-l1-l2,ep,2,4,l2_rqsts-all-pf,1984
sniper-l1-l2,ep,2,4,l2_rqsts-pf-hit,20570
sniper-l1-l2,ep,2,4,l2_rqsts-pf-miss,-18586
sniper-l1-l2,ep,2,4,l2-lines-out-useless-pref,8529945
sniper-l1-l2,ep,3,4,instructions,10719331946
sniper-l1-l2,ep,3,4,ipc,0.787335950587
sniper-l1-l2,ep,3,4,cycles,13614686256
sniper-l1-l2,ep,3,4,l2-rqsts-demand-data-rd-all,34173939
sniper-l1-l2,ep,3,4,l2-rqsts-demand-data-rd-miss,9118601
sniper-l1-l2,ep,3,4,l2-rqsts-demand-data-rd-hit,25055338
sniper-l1-l2,ep,3,4,l2_rqsts-all-pf,1499
sniper-l1-l2,ep,3,4,l2_rqsts-pf-hit,19555
sniper-l1-l2,ep,3,4,l2_rqsts-pf-miss,-18056
sniper-l1-l2,ep,3,4,l2-lines-out-useless-pref,8687598
sniper-l1-l2,ep,0,12,instructions,3581775697
sniper-l1-l2,ep,0,12,ipc,0.788347894781
sniper-l1-l2,ep,0,12,cycles,4543394763
sniper-l1-l2,ep,0,12,l2-rqsts-demand-data-rd-all,11431631
sniper-l1-l2,ep,0,12,l2-rqsts-demand-data-rd-miss,3062940
sniper-l1-l2,ep,0,12,l2-rqsts-demand-data-rd-hit,8368691
sniper-l1-l2,ep,0,12,l2_rqsts-all-pf,192057
sniper-l1-l2,ep,0,12,l2_rqsts-pf-hit,9606
sniper-l1-l2,ep,0,12,l2_rqsts-pf-miss,182451
sniper-l1-l2,ep,0,12,l2-lines-out-useless-pref,2966767
sniper-l1-l2,ep,1,12,instructions,3587160603
sniper-l1-l2,ep,1,12,ipc,0.789533104865
sniper-l1-l2,ep,1,12,cycles,4543394799
sniper-l1-l2,ep,1,12,l2-rqsts-demand-data-rd-all,11411954
sniper-l1-l2,ep,1,12,l2-rqsts-demand-data-rd-miss,2907775
sniper-l1-l2,ep,1,12,l2-rqsts-demand-data-rd-hit,8504179
sniper-l1-l2,ep,1,12,l2_rqsts-all-pf,3804
sniper-l1-l2,ep,1,12,l2_rqsts-pf-hit,9124
sniper-l1-l2,ep,1,12,l2_rqsts-pf-miss,-5320
sniper-l1-l2,ep,1,12,l2-lines-out-useless-pref,2757285
sniper-l1-l2,ep,2,12,instructions,3585477543
sniper-l1-l2,ep,2,12,ipc,0.789162664659
sniper-l1-l2,ep,2,12,cycles,4543394794
sniper-l1-l2,ep,2,12,l2-rqsts-demand-data-rd-all,11417334
sniper-l1-l2,ep,2,12,l2-rqsts-demand-data-rd-miss,3104809
sniper-l1-l2,ep,2,12,l2-rqsts-demand-data-rd-hit,8312525
sniper-l1-l2,ep,2,12,l2_rqsts-all-pf,5728
sniper-l1-l2,ep,2,12,l2_rqsts-pf-hit,9379
sniper-l1-l2,ep,2,12,l2_rqsts-pf-miss,-3651
sniper-l1-l2,ep,2,12,l2-lines-out-useless-pref,2952681
sniper-l1-l2,ep,3,12,instructions,3584830075
sniper-l1-l2,ep,3,12,ipc,0.789020156013
sniper-l1-l2,ep,3,12,cycles,4543394801
sniper-l1-l2,ep,3,12,l2-rqsts-demand-data-rd-all,11418827
sniper-l1-l2,ep,3,12,l2-rqsts-demand-data-rd-miss,3148259
sniper-l1-l2,ep,3,12,l2-rqsts-demand-data-rd-hit,8270568
sniper-l1-l2,ep,3,12,l2_rqsts-all-pf,1516
sniper-l1-l2,ep,3,12,l2_rqsts-pf-hit,7681
sniper-l1-l2,ep,3,12,l2_rqsts-pf-miss,-6165
sniper-l1-l2,ep,3,12,l2-lines-out-useless-pref,2997113
sniper-l1-l2,ep,4,12,instructions,3574780339
sniper-l1-l2,ep,4,12,ipc,0.786808211848
sniper-l1-l2,ep,4,12,cycles,4543394800
sniper-l1-l2,ep,4,12,l2-rqsts-demand-data-rd-all,11385829
sniper-l1-l2,ep,4,12,l2-rqsts-demand-data-rd-miss,3140586
sniper-l1-l2,ep,4,12,l2-rqsts-demand-data-rd-hit,8245243
sniper-l1-l2,ep,4,12,l2_rqsts-all-pf,494
sniper-l1-l2,ep,4,12,l2_rqsts-pf-hit,6512
sniper-l1-l2,ep,4,12,l2_rqsts-pf-miss,-6018
sniper-l1-l2,ep,4,12,l2-lines-out-useless-pref,2988767
sniper-l1-l2,ep,5,12,instructions,3574199755
sniper-l1-l2,ep,5,12,ipc,0.786680425234
sniper-l1-l2,ep,5,12,cycles,4543394802
sniper-l1-l2,ep,5,12,l2-rqsts-demand-data-rd-all,11386092
sniper-l1-l2,ep,5,12,l2-rqsts-demand-data-rd-miss,3115111
sniper-l1-l2,ep,5,12,l2-rqsts-demand-data-rd-hit,8270981
sniper-l1-l2,ep,5,12,l2_rqsts-all-pf,858
sniper-l1-l2,ep,5,12,l2_rqsts-pf-hit,6738
sniper-l1-l2,ep,5,12,l2_rqsts-pf-miss,-5880
sniper-l1-l2,ep,5,12,l2-lines-out-useless-pref,2963290
sniper-l1-l2,ep,6,12,instructions,3573755143
sniper-l1-l2,ep,6,12,ipc,0.786582566464
